id,dates
GOOGL0,2024-01-03
GOOGL1,2023-12-29
GOOGL2,2023-11-30
GOOGL3,2023-10-31
GOOGL4,2023-09-29
GOOGL5,2023-08-31
GOOGL6,2023-07-31
GOOGL7,2023-06-30
GOOGL8,2023-05-31
GOOGL9,2023-04-28
GOOGL10,2023-03-31
GOOGL11,2023-02-28
GOOGL12,2023-01-31
GOOGL13,2022-12-30
GOOGL14,2022-11-30
GOOGL15,2022-10-31
GOOGL16,2022-09-30
GOOGL17,2022-08-31
GOOGL18,2022-07-29
GOOGL19,2022-06-30
GOOGL20,2022-05-31
GOOGL21,2022-04-29
GOOGL22,2022-03-31
GOOGL23,2022-02-28
GOOGL24,2022-01-31
GOOGL25,2021-12-31
GOOGL26,2021-11-30
GOOGL27,2021-10-29
GOOGL28,2021-09-30
GOOGL29,2021-08-31
GOOGL30,2021-07-30
GOOGL31,2021-06-30
GOOGL32,2021-05-28
GOOGL33,2021-04-30
GOOGL34,2021-03-31
GOOGL35,2021-02-26
GOOGL36,2021-01-29
GOOGL37,2020-12-31
GOOGL38,2020-11-30
GOOGL39,2020-10-30
GOOGL40,2020-09-30
GOOGL41,2020-08-31
GOOGL42,2020-07-31
GOOGL43,2020-06-30
GOOGL44,2020-05-29
GOOGL45,2020-04-30
GOOGL46,2020-03-31
GOOGL47,2020-02-28
GOOGL48,2020-01-31
GOOGL49,2019-12-31
GOOGL50,2019-11-29
GOOGL51,2019-10-31
GOOGL52,2019-09-30
GOOGL53,2019-08-30
GOOGL54,2019-07-31
GOOGL55,2019-06-28
GOOGL56,2019-05-31
GOOGL57,2019-04-30
GOOGL58,2019-03-29
GOOGL59,2019-02-28
GOOGL60,2019-01-31
GOOGL61,2018-12-31
GOOGL62,2018-11-30
GOOGL63,2018-10-31
GOOGL64,2018-09-28
GOOGL65,2018-08-31
GOOGL66,2018-07-31
GOOGL67,2018-06-29
GOOGL68,2018-05-31
GOOGL69,2018-04-30
GOOGL70,2018-03-29
GOOGL71,2018-02-28
GOOGL72,2018-01-31
GOOGL73,2017-12-29
GOOGL74,2017-11-30
GOOGL75,2017-10-31
GOOGL76,2017-09-29
GOOGL77,2017-08-31
GOOGL78,2017-07-31
GOOGL79,2017-06-30
GOOGL80,2017-05-31
GOOGL81,2017-04-28
GOOGL82,2017-03-31
GOOGL83,2017-02-28
GOOGL84,2017-01-31
GOOGL85,2016-12-30
GOOGL86,2016-11-30
GOOGL87,2016-10-31
GOOGL88,2016-09-30
GOOGL89,2016-08-31
GOOGL90,2016-07-29
GOOGL91,2016-06-30
GOOGL92,2016-05-31
GOOGL93,2016-04-29
GOOGL94,2016-03-31
GOOGL95,2016-02-29
GOOGL96,2016-01-29
GOOGL97,2015-12-31
GOOGL98,2015-11-30
GOOGL99,2015-10-30
GOOGL100,2015-09-30
GOOGL101,2015-08-31
GOOGL102,2015-07-31
GOOGL103,2015-06-30
GOOGL104,2015-05-29
GOOGL105,2015-04-30
GOOGL106,2015-03-31
GOOGL107,2015-02-27
GOOGL108,2015-01-30
GOOGL109,2014-12-31
GOOGL110,2014-11-28
GOOGL111,2014-10-31
GOOGL112,2014-09-30
GOOGL113,2014-08-29
GOOGL114,2014-07-31
GOOGL115,2014-06-30
GOOGL116,2014-05-30
GOOGL117,2014-04-30
GOOGL118,2014-03-31
GOOGL119,2014-02-28
GOOGL120,2014-01-31
